group,entity,sentence,span1L,span1R
literal,Brazil,"three fbi agents who testified against rashid during the trial , held at korydallos prison , said they had ample evidence against rashid for a bomb planted on a pan american plane in brazil in 1982 and a mid-air bomb blast on a twa airliner approaching athens in 1986 which killed four u .s . citizens .",33.0,34.0
literal,South Africa,he was the first black head of south africa 's anglicans .,7.0,9.0
metonymic,Alessandra Mussolini,"alessandra mussolini , the granddaughter of italy's fascist dictator benito mussolini , said on friday she had rejoined the far-right national alliance ( an ) party she quit over policy differences last month .",0.0,2.0
literal,New York,"in new york , wally whitehurst allowed two runs over seven innings for his first win in more than two years and paul o'neill's three-run double snapped a sixth-inning tie as the new york yankees held on for a 5-4 victory over the oakland athletics .",1.0,3.0
literal,New Haven,"alex o'brien , who scored his first professional title eight days ago in new haven , advanced to the second round with a 6-4 1-6 6-4 6-3 win over ecuador's nicolas lapentti .",13.0,15.0
metonymic,Zimbabwe,"scores : australia 263-7 in 50 overs , zimbabwe 138 all out in 41 overs .",8.0,9.0
literal,Costa Rica,the costa rica government said on wednesday that a dutch couple abducted over the weekend from a tree farm in northern costa rica was kidnapped by former nicaraguan guerrillas .,1.0,3.0
literal,Britain,"a last distinction between calming experience in britain after the brow and that on the continent since the woonerf , lies in the dissimilar attitudes of government transport departments as reflected in their literature .",7.0,8.0
literal,Romania,"the accord , agreed two weeks ago , is expected to end years of disputes over the status of romania 's large ethnic hungarian minority .",19.0,20.0
literal,Dallas,"a 13-year-old dallas boy has been charged with murdering his adoptive mother over the weekend , police said on monday .",2.0,3.0
metonymic,Soviet Union,"lukashenko , 41 , won presidential polls in 1994 on promises to restore order , fight corruption and repair the strong links with russia that were disrupted by the collapse of the soviet union .",32.0,34.0
literal,China,china cities to ban disposable plastic containers .,0.0,1.0
literal,U.S.,a u .s . diplomat in charge of elections in bosnia announced earlier that municipal polls due on september 14 with other bosnian elections would be put off because of irregularities by the serbs in registering voters .,1.0,3.0
literal,Limerick,"thieves stole almost 2 ,000 irish pounds ($ 3 ,000) from the officers' canteen of a limerick jail on thursday while warders slept in a room upstairs .",16.0,17.0
literal,South Africa,"other seeded players advancing were number three wayne ferreira of south africa , number four marcelo rios of chile , number six malivai washington of the united states and american todd martin , the seventh seeed .",10.0,12.0
literal,Pescadores Islands,"japan's newly modernized armed forces achieved a resounding victory , and the terms of the peace treaty exacted from the chinese not only a massive indemnity , but also the cession to japan of formosa (taiwan) , the pescadores islands and the liaodong peninsula , which lay off the manchurian coast west of korea .",38.0,40.0
literal,Britain,"liam gallagher , singer of britain 's top rock group oasis , flew out on thursday to join the band three days after the start of its u .s . tour .",5.0,6.0
literal,Northern Ireland,the parliamentary under-secretary of state for northern ireland (mr . richard needham),6.0,8.0
literal,Little Rock,"both churches were in the mississippi delta region of arkansas , about 90 miles (145 kms) southeast of little rock , and were located within three miles of one another .",18.0,20.0
metonymic,Barrick,"barrick has teamed up with a construction company in the citra group of suharto's eldest daughter , siti hardianti rukmana , in what barrick had said was a partnership "" to prepare us for a potential mining development project "" .",0.0,1.0
literal,European Union,"european union rice experts on thursday postponed discussion on area aid payments to rice producers because the documents were not available in all the eu languages , an eu offcial said on friday .",0.0,2.0
literal,U.S.,"in november , new york city said it became the first u .s . municipality to offer bonds for sale in european markets by competitive bidding as it listed taxable bonds on the london stock exchange .",11.0,13.0
literal,Kisangani,"the kisangani office of the medical charity medecins sans frontieres said on friday that more than 100 ,000 refugees were trekking northwest from the goma-bukavu area and many of them were now in the town of walikale .",1.0,2.0
literal,Atlanta,johnson ran the same time at the u .s . olympic trials in atlanta in june to become the second equal fastest hurdler of all time with american roger kingdom .,13.0,14.0
literal,Cyprus,"a sudan airways plane with 199 passengers and crew which was hijacked to cyprus took off from larnaca airport after refuelling and headed to britain early on tuesday , witnesses said .",13.0,14.0
literal,Gaza,"israeli travel restrictions , imposed after bombings by moslem militants in february and march , ban most of the two million arabs in the west bank and gaza from entering jerusalem .",27.0,28.0
literal,Germany,"very roughly , you are german if your parents are , not because you live in germany or were born there .",16.0,17.0
literal,Germany,"in 1939 mi6 received the famous oslo report , a package of technical information delivered to the british legation in oslo , containing a wealth of priceless data about secret weapon developments in germany including rocket design at a then unheard of location called peenemünde .",33.0,34.0
literal,New York,"it explained the "" addition of a new york license will enable penn treaty american corp to conduct business in all 50 states , following the company's acquisition of health insurance of vermont , a vermont domiciled insurer , scheduled to close on august 30 , 1996 . """,7.0,9.0
metonymic,Japan,"the united states edged austria in salzburg 3-2 in the opening round in april , and then blanked japan 5-0 in nagoya last month in the semifinals .",18.0,19.0
literal,France,"in france , a very tall but lightweight flèche was erected over the crossing .",1.0,2.0
metonymic,Jordan,"the riots , which shook jordan for two days , broke out after last friday's main prayers in the southern town of karak and spread to amman .",5.0,6.0
metonymic,Singapore,feature - singapore sees prestige in hosting wto .,2.0,3.0
literal,Philippines,"in a study of thirty-three european chemical and pharmaceutical joint ventures in indonesia , thailand , philippines , singapore and malaysia , lasserre (1982) discovered that home-country technicians were not trained to train in specific socio-cultural settings .",16.0,17.0
literal,Illinois,"- two barges next week illinois bid at a steady 130 percent of tariff , offered at 135 percent .",5.0,6.0
literal,Belgium,"torrential rains and galeforce winds battered belgium on thursday causing widespread damage as some areas had more rainfall in 24 hours than they normally get in a month , the meteorological office said .",6.0,7.0
metonymic,Khartoum,it sponsored last week's u .n . security council resolution threatening a ban on sudanese flights abroad if khartoum does not hand over three men accused in the addis ababa incident .,18.0,19.0
metonymic,Warsaw,"rosati said that the atmosphere of the meeting , if it takes place , would largely depend on the progress in talks on ratification of a treaty between warsaw and the vatican .",28.0,29.0
literal,Scotland,eyles played his best squash of the tournament to beat fourth-seeded peter nicol of scotland 15-10 8-15 15-10 15-4 .,14.0,15.0
literal,Bellerive Oval,"replying to the home side's first innings 481 for eight declared , victoria reached 220 for three at close of play on the second day of the four-day match at hobart's bellerive oval .",31.0,33.0
metonymic,Seattle,"in boston , former mariner darren bragg's first career grand slam in the sixth inning off reliever randy johnson lifted the boston red sox to their fifth win in six games , a 9-5 victory over seattle .",36.0,37.0
literal,United States,the united states embassy in abidjan and international press organisations denounced the sentences as excessive .,1.0,3.0
metonymic,Poland,"he said the 65-80-litre level could be reached in the next ten years and make poland , with its 40-million population , europe's third largest beer market after germany and britain .",15.0,16.0
literal,Saudi Arabia,"the parties to a bilateral agreement can not impose these wider obligations on third parties , notably the other two gulf states , saudi arabia and jordan .",23.0,25.0
metonymic,Wall Street,"later in the day , helped by the firmer wall street opening , paris climbed back to the 2000 level but still remained well into negative territory .",9.0,11.0
literal,U.S.,"california growers have charged that removing the restrictions , even on a limited basis , would endanger the $ 1 billion u .s . industry if potentially harmful mexican insects were brought into the country along with the avocados .",21.0,23.0
literal,Japan,"this has led to concern by environmental groups that some may fall into the hands of terrorists or governments keen to develop nuclear weapons , during shipment to japan .",28.0,29.0
literal,Santa Fe,"they said the santa fe deal , which includes desirable nevada mining territory , would only payoff for newmont longer term .",3.0,5.0
literal,Colorado,"at colorado , vinny castilla homered twice and drove in four runs and larry walker went 3-for-4 with a homer and three rbi as the colorado rockies outslugged the pittsburgh pirates 13-9 in the rubber game of a three-game series .",1.0,2.0
metonymic,Canada,canada 's were the worst performing bonds .,0.0,1.0
literal,Atlantic City,camacho took a controversial points decision against the panamanian in atlantic city in june in a title fight .,10.0,12.0
literal,Jerusalem,"palestinians reopened their shops on thursday at the end of a four-hour strike called by president yasser arafat to protest against israel's policy on jewish settlements and jerusalem , witnesses said .",27.0,28.0
literal,Barcelona,he said a 24-year-old belgian woman left a suitcase containing 13 kg (29 lb) of heroin in a taxi in barcelona .,20.0,21.0
literal,Etruria,"orvieto , located in umbria between rome and florence , was once the capital of etruria , an ancient federation of 12 etruscan towns .",15.0,16.0
literal,U.S.,"the plan has raised a storm of protest from u .s . avocado growers , who are largely concentrated in california .",9.0,11.0
metonymic,Italy,"italy ( adler capelli , cristiano citto , andrea collinelli , mauro trentino ) 4 :00 .958 ( world record ) beat russia ( anton chantyr , edouard gritsoun , nikolai kouznetsov ) 4 :06 .534 .",0.0,1.0
metonymic,Sweden,"norway , england and sweden were rewarded for their fair play on thursday with an additional place in the 1997-98 uefa cup competition .",4.0,5.0
literal,Mexico,"for example , he once received a postcard from his mother and sisters which said : ` today we gone to mexico - south of the border "" .",21.0,22.0
literal,Belgium,commercial tv includes pro rata share of sales and operating profits in dutch group hmg and belgium 's vtm .,16.0,17.0
literal,U.S.,december cotton closed 0 .95 cent higher at 77 .06 cents per pound on the new york cotton exchange despite some easing of concern about the twin hurricane threat to key u .s . growing areas with forecasts indicating both storms may remain offshore .,31.0,33.0
literal,Senegal,senegal 's president abdou diouf said on friday he was proposing his foreign minister moustapha niasse for the post of united nations secretary-general .,0.0,1.0
literal,Britain,"by the time of the first world war , an enormous number of quite small villages and hamlets had their own wayside station or halt , and at its peak britain 's railway system was (to thomas) ` almost absurdly dense "" .",30.0,31.0
literal,Ireland,""" in the life of one person you can tell the events that formed the north and south of ireland as they are today . """,19.0,20.0
literal,Iran,possession of 30 grammes (just over an ounce) of heroin or five kg (11 lb) of opium is punishable by death in iran .,22.0,23.0
literal,Brasilia,"havel is due to meet with his brazilian counterpart fernando henrique cardoso in the capital brasilia and will visit the cities of manaus , sao paulo and rio de janeiro .",15.0,16.0
metonymic,Jordan,"jordan , which has blamed iraq for bread riots last week , has asked an iraqi diplomat to leave , official and diplomatic sources said on friday .",0.0,1.0
literal,Jebel al-Akhdar,tripoli-based diplomats and exiled opponents said gaddafi's airforce blasted in july rebel strongholds in the mountainous jebel al-akhdar region .,16.0,18.0
literal,U.S.,usda pegged u .s . wheat exports at 25 .0 million tonnes in fiscal 1997 versus 32 .0 million tonnes the prior year . . .,2.0,4.0
metonymic,Middle East,he said turkey considered jordan a suitable country with which to cooperate on middle east matters .,13.0,15.0
literal,Haarlem,leading results and overall standings after the 195 kilometre second stage of the tour of the netherlands between haarlem and almere on wednesday .,18.0,19.0
metonymic,Santa Fe,newmont proposed to santa fe a stock-swap merger at a ratio of 0 .33 newmont shares for each santa fe shares .,3.0,5.0
metonymic,India,hindu party forces india parliament to adjourn .,3.0,4.0
literal,Costa Rica,an ongoing oda-funded professional linkage has been negotiated between bgs and the government of costa rica .,14.0,16.0
literal,United States,"for example , in the united states there was a 16 per cent decline in mortality rates among males aged 85 + and 36 per cent among females of the same age during the period 1965 - 85 (verbrugge 1989) .",5.0,7.0
metonymic,Netherlands,"spain travels to belgium , while the u .s . team heads to the netherlands for first-round matches march 1-2 .",14.0,15.0
metonymic,ROMANIA,soccer - romania beat lithuania in world cup qualifier .,2.0,3.0
metonymic,England,"hussain , considered surplus to england 's one-day requirements , struck 158 , his first championship century of the season , as essex reached 372 and took a first innings lead of 82 .",5.0,6.0
metonymic,The Netherlands,"the netherlands government has ruled out paying ransom money for a dutch couple kidnapped from their farm , while costa rican authorities said on tuesday they had no leads in the case .",0.0,2.0
literal,Chechnya,"russian security chief aleksander lebed faces an almost impossible task in chechnya and is likely to be sidelined , polish foreign minister dariusz rosati was reported as saying on wednesday .",11.0,12.0
metonymic,India,south africa's trip to kanpur for the third test against india has given former england test cricketer bob woolmer the chance of a sentimental return to his birthplace .,10.0,11.0
literal,Zvornik,""" local radio and television there (in zvornik ) are advising people to step back and take it easy .",7.0,8.0
metonymic,Australia,australia beat zimbabwe by 125 runs in the first match of the singer world series one-day ( 50 overs ) cricket tournament on monday .,0.0,1.0
literal,Jerusalem,"on tuesday , israeli crews hoisted a bulldozer over the walls of jerusalem 's old city and demolished the centre , saying it was being restored without a building permit .",12.0,13.0
metonymic,Senegal,senegal proposes foreign minister for u .n . post .,0.0,1.0
literal,Kosovo,"a policeman has been shot dead in serbia's troubled kosovo province , serbian police said on thursday .",9.0,10.0
literal,Guernsey,"an 88-year-old woman was taken to hospital with leg injuries , according to a spokesman for guernsey police .",16.0,17.0
literal,Black Sea,"valkov said he could not curb the summer charter flights of national carrier balkan airlines , which carries thousands of foreign tourists to the bulgarian black sea resorts .",25.0,27.0
literal,Taipei University Hospital,"chamorro has complained of lower back pain since her trip to taiwan in may , when the pain forced her to go to taipei university hospital for an examination .",23.0,26.0
literal,Gibraltar,"three out of four of these accidents fix on the properties of individual men as decisive variables directing the course of events : had churchill been a less charismatic politician britain might have given up her fight against germany; had franco permitted an assault on gibraltar it would probably have fallen; and if mussolini had not ` taken it into his head "" to invade greece , hitler would have moved into russia .",45.0,46.0
metonymic,Australia,the next match in the four-nation tournament is on friday when sri lanka play australia in a repeat of the world cup final in lahore where sri lanka won by seven wickets .,14.0,15.0
literal,U.S.,"the state department refused to speculate on friday on what might happen in the case of louis farrakhan , the u .s . black leader who was awarded a $ 250 ,000 human rights prize by libya .",20.0,22.0
literal,Brazil,czech republic president vaclav havel is scheduled to make an official visit to brazil sept .,13.0,14.0
literal,Australia,"homestake , based in san francisco , operates gold mines in the united states , australia , chile and canada .",15.0,16.0
metonymic,England,"he guided ireland to two successive world cup finals tournaments and to the 1988 european championship finals in germany , after the irish beat a well-fancied england team 1-0 in their group qualifier .",26.0,27.0
metonymic,AUSTRALIA,cricket - australia 228-9 in 50 overs v sri lanka .,2.0,3.0
literal,Dhaka,"hundreds of police raided the dhaka university on sunday , arresting nearly 30 outsiders who had been living in student dormitories and seizing weapons , university officials said .",5.0,6.0
metonymic,Supple,"supple said hosting the meeting carried prestige for singapore , "" however , this is quite intangible as the prestige factor may not necessarily lead to any additional investment and trade flows to this region . """,0.0,1.0
literal,Croatia,the tournament also lost its second seed on the third day of play when second-seeded goran ivanisevic of croatia was beaten 6-7(3-7) 6-4 6-4 by unseeded mikael tillstrom of sweden .,18.0,19.0
literal,Florida,"at florida , edgar renteria's two-out single in the bottom of the ninth inning scored jesus tavarez with the winning run as the florida marlins edged the cincinnati reds 6-5 .",1.0,2.0
literal,Egypt,egypt police catch ancient manuscript thieves .,0.0,1.0
literal,Venezuela,"the basket comprises algeria's saharan blend , indonesia's minas , nigeria's bonny light , saudi arabia's arabian light , dubai of the uae , venezuela 's tia juana and mexico's isthmus .",24.0,25.0
literal,UK,"uk industry , for its part , invests a smaller proportion of output in r&d than its main competitors , and more recent data on r&d as a percentage of sales , as well as data on patent levels , tells a similar story .",0.0,1.0
literal,Abu Dhabi,"the russians , who said they overpowered the guards -- two armed with kalashnikov automatic rifles -- while doing regular maintenance work on their ilyushin 76 cargo plane last friday , left the uae capital abu dhabi for home on sunday .",35.0,37.0
literal,Amman,the plane was hijacked on its way from khartoum to the jordanian capital amman on monday evening and landed at larnaca airport in cyprus to refuel .,13.0,14.0
metonymic,Arkansas,"arkansas has been spared the loss of predominantly black churches to arson , a wave that has claimed an estimated 30 houses of worship across the south in the past several months .",0.0,1.0
metonymic,Saudi Arabia,"saudi arabia provisionally bought 800 ,000 tonnes of optional-origin barley at an august 21 tender at prices between $ 160 and $ 162 including cost , insurance and freight , traders said last week .",0.0,2.0
literal,China,"but palestinians , once the backbone of the building industry , have been largely replaced by labourers from romania and china .",20.0,21.0
literal,Bosnia,""" turkish people are watching closely the developments in bosnia .",9.0,10.0
literal,Netherlands,"it included sweden , norway , denmark , finland , west germany , austria , switzerland , the netherlands and canada .",18.0,19.0
metonymic,Australia,sri lanka and australia agreed on friday that relations between the two teams had healed since the sri lankans' acrimonious tour last year .,3.0,4.0
metonymic,Sri Lanka,the next match in the four-nation tournament is on friday when sri lanka play australia in a repeat of the world cup final in lahore where sri lanka won by seven wickets .,11.0,13.0
literal,New York,"the agreement resolved a dispute that arose in june when colombia turned down american's request to operate flights between new york and bogota , a denial that prompted the united states to charge that the colombians were breaking a bilateral aviation agreement and to propose sanctions against one of two colombian airlines , avianca and aces .",19.0,21.0
literal,Calif.,"ventura , calif . 1996-08-28",2.0,3.0
metonymic,Tokyo,the dollar weakened during the day with many dealers sidelined because of uncertainty over tokyo 's monetary direction ahead of the important japanese tankan economic survey out on wednesday .,14.0,15.0
literal,Ukraine,"following extensive international concern over the levels of safety of the older power reactors in the former ussr , aea has been appointed to manage an international programme of safety evaluation for rbmk-type reactors in russia , lithuania and ukraine .",39.0,40.0
literal,Colombia,ten people gunned down in northwest colombia .,6.0,7.0
metonymic,Pakistan,"the state ( central ) bank of pakistan auctioned three- , five- and 10-year federal investment bonds worth 1 .38 billion rupees on tuesday .",7.0,8.0
literal,Taiwan,"the taiwan dollar closed slightly firmer on thursday amid tight taiwan dollar liquidity in the banking system , and dealers said the rate was likely to move narrowly in the near term .",1.0,2.0
literal,Federal Republic of Yugoslavia,the federal republic of yugoslavia is the only country of the former yugoslavia where poles currently require visas .,1.0,5.0
metonymic,Saudi Arabia,saudi arabia executes pakistani man .,0.0,2.0
literal,Chicago,gallagher made his usual obscene gestures and swore at journalists as he prepared to fly from london's heathrow airport to chicago .,20.0,21.0
literal,Papua New Guinea,"niugini holds copper and gold mining interests in australia , chile and papua new guinea , where it has a 17 .2 percent stake in the lihir gold project .",12.0,15.0
literal,New Jersey,"there are now four such ` tuned tracks "" in america : at harvard , yale , madison square garden in new york , and at the meadowlands sports complex in new jersey .",31.0,33.0
metonymic,Israel,israel approves arafat's flight to west bank .,0.0,1.0
literal,Rome,"nyerere arrived in rome this week on a private visit and held talks with the u .s . special envoy to burundi , howard wolpe , and the sant' egidio community , an italian roman catholic organisation which has been monitoring burundi closely .",3.0,4.0
metonymic,Security Council,the security council has to vote on a new secretary-general and then seek the endorsement of the 185-members general assembly before december 31 when boutros-ghali's term expires .,1.0,3.0
literal,Europe,"jan buettner , managing director of aol germany , said adon was in the formation phase and would "" get off the ground next year , bringing in advertising from around europe . """,31.0,32.0
literal,Chihuahua,"zenith will convert its chihuahua , mexico , analogue set-top box plant to manufacture the digital boxes .",4.0,5.0
literal,U.S.,some overseas investors might shy away from buying u .s . stocks and bonds or even sell them when the dollar is weakening .,8.0,10.0
literal,Copenhagen,he played an active role at the u .n . social development conference in copenhagen last year and has co-authored articles with u .n . development programme officer inge kaul .,14.0,15.0
literal,Lebanon,"no date has been set for the trial of the men , all members of the sla living in the israeli-held zone in south lebanon .",24.0,25.0
literal,Mexico,the california avocado commission -- which has spearheaded the opposition to lifting the ban -- said new data the group submitted to the agriculture department last spring shows the department underestimated the pest problem in mexico and have urged that the agency reopen its study of the issue .,35.0,36.0
literal,Gaza,"the prime minister's visit , his first trip outside the country since jordan was shaken by food riots earlier this month , came against the backdrop of a palestinian general strike in the west bank and gaza .",36.0,37.0
literal,Nevada,"they said the santa fe deal , which includes desirable nevada mining territory , would only payoff for newmont longer term .",10.0,11.0
metonymic,Australia,"on tour , australia have won all four tests against italy , scotland , ireland and wales , and scored 414 points at an average of almost 35 points a game .",3.0,4.0
literal,China,"the pressure group said wang would be sent to a study class , often a euphemism in china for ideological reform .",17.0,18.0
metonymic,Iceland,"the committee consists of the chiefs of defence staff of each alliance country except iceland , which has no armed forces .",14.0,15.0
literal,U.S.,u .s . investors in troubled lloyd's of london were considering late on tuesday whether to appeal a u .s . court decision in favour of lloyd's and pledged to continue pursuing other legal actions .,0.0,2.0
metonymic,Corsica,new bomb attacks on corsica despite crackdown vow .,4.0,5.0
literal,India,belgium bank sanctions $ 6 .5 mln loan to india wsrl .,9.0,10.0
metonymic,Slovenia,"slovenia and poland target eu , nato membership .",0.0,1.0
literal,Albania,"a large number of destitute children can be seen begging in the streets of impoverished albania , especially in towns and resorts visited by foreigners .",15.0,16.0
literal,China,"china 961 1 ,683 5 ,539",0.0,1.0
metonymic,Estonia,estonia assembly fails to elect state president .,0.0,1.0
literal,Auckland,police seek fugitive after auckland gun incident .,4.0,5.0
literal,Rome,"poor man's roman derby in what has been a miserable season for both rome teams , already eliminated from the italian and uefa cups .",13.0,14.0
literal,Indonesia,"the basket comprises algeria's saharan blend , indonesia 's minas , nigeria's bonny light , saudi arabia's arabian light , dubai of the uae , venezuela's tia juana and mexico's isthmus .",7.0,8.0
metonymic,Russia,"relations with russia , which is our main partner , have great importance , "" kuchma said .",2.0,3.0
literal,Grozny,"reuters correspondent lawrence sheets , speaking from the nearby village of alkhan-yurt , said he had heard little from grozny since wednesday evening's arrival of russian security chief alexander lebed , who said he "" came with peace "" .",19.0,20.0
metonymic,Canada,canada 's minister of foreign affairs lloyd axworthy said after meeting hong kong gov .,0.0,1.0
metonymic,China,it is not known why china raised the issue .,5.0,6.0
literal,Britain,"the south downs emerge from the sea in the south of the county as a wave-washed platform from which rise the cliffs from brighton to beachy head , at 236 metres the highest chalk cliff in britain .",36.0,37.0
literal,Burma,two thai border police wounded by burma gunmen .,6.0,7.0
metonymic,NTT,the official said the latest government decision to split the company under a holding company would allow flexibility in ntt 's international phone business .,19.0,20.0
literal,Baghdad,a new u .n . relief coordinator has arrived in baghdad to take up the task of organising humanitarian goods distribution and to face iraq's continuing opposition over the number of international monitors to be involved .,10.0,11.0
metonymic,New Zealand,new zealand beat south africa 33-26 ( halftime 21-11 ) in the second test on saturday .,0.0,2.0
literal,Thailand,"a consortium led by thailand 's siam commercial bank plc has secured at auction the right to sell two state agency bond issues worth a combined 3 .73 billion baht , an official at the bank said on thursday .",4.0,5.0
literal,Valencia,"it added bureau veritas has accredited aei iberfreight's offices at alicante , barcelona , bilbao , madrid , seville and valencia as meeting the necessary standards .",20.0,21.0
literal,California,"james harvey and jennifer hurley of the moss landing marine laboratories in california say their sea lions , natural companions of many species of whale , can go where no man or woman has ever gone before .",12.0,13.0
metonymic,Mickey Kantor,"in a stand some analysts linked to controversy over singapore's caning of an american teenager for vandalism , then-u .s . trade representative mickey kantor had said the meeting ought to be held where the wto was going to be headquartered .",23.0,25.0
metonymic,Pierre Lueders,"canada i , represented by pierre lueders and breakman dave maceachern , completed the third world cup event of the winter a further one-hundredth of a second behind the italians .",5.0,7.0
literal,Nicaragua,""" (chamorro) is in good health and , according to her doctors , will be able to return to nicaragua next week , "" it said .",19.0,20.0
metonymic,India,his first cricketing sojurn to india was as a member of tony greig's england side in 1976-77 .,5.0,6.0
literal,U.S.,u .s . wheat weekly export sales highlights - usda .,0.0,2.0
literal,Atlanta,"canada's donovan bailey , the olympic 100 metres champion and world record holder , and namibian frankie fredericks , the silver medallist at the recent atlanta games , have already agreed to run in the 4x100 metres team .",25.0,26.0
literal,Angola,- the angola chief of state addressed a letter to un security council proposing dates for the conclusion of the peace process in angola .,2.0,3.0
literal,UK,"hexa-ex , another imported product manufactured specifically for treating ` hole in the head disease may still be available in the uk .",21.0,22.0
literal,Singapore,"but these concerns were irrelevant , a singapore trader said , despite a forecast that domestic chinese copper demand could hit one million tonnes this year .",7.0,8.0
literal,New York,"in new york , garret anderson and gary disarcina drove in two runs apiece in a five-run first inning and jim edmonds highlighted a six-run sixth with a bases-loaded double as the california angels coasted to a 12-3 victory over the yankees in the rubber game of their three-game series .",1.0,3.0
literal,Karachi,""" i promise the people of karachi that those responsible for the extra-judicial killing of innocent youths would not be spared , "" sharif said .",6.0,7.0
metonymic,Vatican,"poland's ex-communist president aleksander kwasniewski is likely to visit polish-born pope john paul in early 1997 despite uneasy relations between the vatican and warsaw , the foreign minister said on friday .",21.0,22.0
literal,Mexico,"mexico 's same-day cetes rates rose 50 basis points to 24 .25 percent on nervousness over a new round of attacks by guerrillas in two southern states , dealers said .",0.0,1.0
literal,Moscow,russian double olympic swimming champion alexander popov was in a serious condition on monday after being stabbed on a moscow street .,19.0,20.0
literal,Italy,boardman clocked four minutes 13 .353 seconds to slice more than six seconds from the previous world mark of 4 :19 .699 set by olympic champion andrea collinelli of italy in atlanta in july .,29.0,30.0
literal,Argentina,"the former dictator , who ruled from 1971 to 1973 , was best known for allowing juan domingo peron , argentina 's famed populist leader , to return to argentina after 17 years of forced exile .",20.0,21.0
metonymic,Turkey,"turkey - 1 - rustu recber , 4 - hakan unsal ( 14 - sergen yalcin , 57th ) , 2 - recep cetin , 3 - ogun temizkanoglu , 5 - alpay ozalan , 7- abdullah ercan , 6 - tolunay kafkas , 10 - oguz cetin ( 13 - arif erdem , 57th ) , 11 - tayfun korkut , 9 - hakan sukur , 8 - saffet sancakli ( 17- orhan cikirikci , 76th ) .",0.0,1.0
metonymic,Livshits,"livshits 's words are an attempt to put pressure on the company . """,0.0,1.0
literal,Belgium,galeforce winds and heavy rains batter belgium .,6.0,7.0
metonymic,John Langmore,rtrs - australian mp john langmore formally resigns .,4.0,6.0
literal,South Island,"an earthquake measuring 5 .5 on the richter scale shook new zealands upper south island on thursday but there were no reports of injuries , television new zealand said .",13.0,15.0
metonymic,Syria,two goals from defensive errors in the last six minutes allowed japan to come from behind and collect all three points from their opening meeting against syria .,26.0,27.0
literal,Germany,""" neither the national socialists (nazis) nor the communists dared to kidnap an american citizen , "" he shouted , in an oblique reference to his extradition to germany from denmark . """,28.0,29.0
literal,West Bank,"jordanian prime minister abdul-karim al-kabariti left amman on thursday for the west bank town of ramallah to hold talks with palestinian president yasser arafat on the stalled middle east peace process , officials said .",11.0,13.0
metonymic,Chechnya,"tens of thousands of people have died in the war , begun in late 1994 after moscow sent troops to quell chechnya 's independence bid .",21.0,22.0
literal,Estonia,"the declaration calling for talks on estonia 's independence was endorsed on feb . 22 by the estonian supreme soviet , which on feb . 23 elected its presidium president , arnold rüütel; , to head a commission to conduct these talks .",6.0,7.0
literal,Tokyo,"the boj does not want the yen's weakness to lead to pessimism over the economy , "" said taisuke tanaka , market strategist with credit suisse in tokyo .",27.0,28.0
metonymic,Canada,"'' in january or february , we'll have some very close contacts with mexico to add the issue of services and advance on the issue of investments ,'' aninat told reporters after signing a free trade deal with canada .",38.0,39.0
literal,New York City,"the fourth-seeded spaniard , who is tackling the world class traffic of new york city as a warm-up by driving to the tennis centre for her matches , ran over france's nathalie tauziat 6-1 6-3 on wednesday to take her place in the third round .",12.0,15.0
literal,Bosnia,"bosnia 's election organisers will decide on tuesday whether or not to postpone municipal elections scheduled as part of nationwide balloting , an osce spokeswoman said on monday .",0.0,1.0
metonymic,India,"gujral said india would re-examine its position if the treaty , particularly a clause providing for its entry into force , was modified .",2.0,3.0
literal,Netherlands,"the occupation of the netherlands by nazi germany in 1940 left the indies isolated , out on a limb .",4.0,5.0
literal,Poland,"earlier this year south african breweries ltd (sab) bought strategic stakes in the unlisted lech and tychy brewers , which together hold more than 20 percent of the market , and australia's brewpole bv has a controlling stake in poland 's larges t brewery , elbrewery company ltd . (eb) .",39.0,40.0
metonymic,England,the third and final test between england and pakistan at the,6.0,7.0
literal,England,peter nicol (scotland) beat simon parke (england ) 15-7 15-12 15-12 rodney eyles (australia) beat mark cairns (england) 15-7 15-6 15-8 .,6.0,7.0
metonymic,South Africa,"south africa 's omar henry , who has had ` flu , is certain to miss the game .",0.0,2.0
metonymic,Athens,"athens and tirana signed an accord in may to legalise the status of albanian immigrant workers , estimated at 350 ,000 , and remove a long-standing stumbling block in relations between the two balkan neighbours .",0.0,1.0
literal,Canada,"santa fe has mining and exploration operations in nevada , california , montana , canada , brazil , australia , chile , kazakstan , mexico and ghana .",14.0,15.0
literal,Larnaca,"the airliner refuelled at larnaca , cyprus and landed at london's stansted airport in the early hours of tuesday .",4.0,5.0
metonymic,Paul Justin,"paul justin , starting for the sidelined jim harbaugh , was 14-of-23 for 144 yards and a touchdown for the the colts , who played their last home game of the season .",0.0,2.0
literal,U.S.,"a u .s . stage and screen director , he is best known for "" viva zapata "" and "" on the waterfront "" .",1.0,3.0
metonymic,Algeria,algeria forces kill guerrillas - papers .,0.0,1.0
metonymic,Washington,"israel on wednesday sent syria a message , via washington , saying it was committed to peace and wanted to open negotiations without preconditions .",9.0,10.0
metonymic,Bangkok,bangkok has complained to rangoon about the raids but burmese military authorities say they have no contol over the faction .,0.0,1.0
